ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
34,Tachysurus thalassinus,LD,"IJF 1992,39, 1&2  Menon et al",ARIIDAE,0554,AndhraPradesh,SE,1980,1989,trawlnet gillnet,14.4,5,C,0.36,2,0.36,1.94,2.3,0,0.8434783,6,0,0,0,0,0,29,25,60,1,0,0,0,0,0,60,755,3,0,0,0.07947019868,6,0,0,290,0.3841059603,4,Apr_aug,5,4,100,6,3.44,4,4,2,81.5,1,4,48
34,Tachysurus thalassinus,LD,"Bull. 40 CMFRI,1987 Alagaraja et al",ARIIDAE,0554,waltair,SE,1974,1976,TRAWL,14.4,5,C,0.36,2,1.65,0.33,1.98,0,0.1666667,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,100,755,3,0,0,0.1324503311,6,0,0,0,0,0,,0,0,100,6,3.44,4,4,2,81.5,1,4,35
34,Tachysurus thalassinus,LD,"Bull. 40 CMFRI,1987 Alagaraja et al",ARIIDAE,0554,mandapam,SE,1972,1976,TRAWL,14.4,5,C,0.36,2,1.89,0.33,2.22,0,0.1486486,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,60,755,3,0,0,0.07947019868,6,0,0,290,0.3841059603,4,,5,4,100,6,3.44,4,4,2,81.5,1,4,43
34,Tachysurus thalassinus,LD,"Bull. 40 CMFRI,1987 Alagaraja et al",ARIIDAE,0554,Cochin,SW,1981,1981,TRAWL AND GILLNET,14.4,5,C,0.36,2,1.73,0.33,2.06,0,0.1601942,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,100,755,3,0,0,0.1324503311,6,0,0,290,0.3841059603,4,,3,5,100,6,3.44,4,4,2,662.8,6,4,49
34,Tachysurus thalassinus,LD,"Bull. 40 CMFRI,1987 Alagaraja et al",ARIIDAE,0554,Veraval,NW,1981,1982,TRAWL,14.4,5,C,0.36,2,1.27,0.33,1.6,0,0.20625,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,100,755,3,0,0,0.1324503311,6,0,0,290,0.3841059603,4,,3,5,100,6,3.44,4,4,2,298.6,4,4,47
34,Tachysurus thalassinus,LD,"IJF 1992,39, 1&2  Menon et al",ARIIDAE,0554,Kerala,SW,1980,1989,trawlnet gillnet,14.4,5,C,0.36,2,0.36,2,2.36,0,0.8474576,6,0,0,0,0,0,29,25,60,1,0,0,0,0,0,100,755,3,0,0,0.1324503311,6,0,0,290,0.3841059603,4,"Jul,Aug,Sep",3,5,100,6,3.44,4,4,2,662.8,6,4,54
34,Tachysurus thalassinus,LD,"IJF 1992,39, 1&2  Menon et al",ARIIDAE,0554,Gujarat,NW,1980,1989,trawlnet gillnet,14.4,5,C,0.36,2,0.36,2.57,2.93,0,0.8771331,6,0,0,0,0,0,29,25,60,1,0,0,0,0,0,100,755,3,0,0,0.1324503311,6,0,0,290,0.3841059603,4,"Jul,Aug,Sep",3,5,100,6,3.44,4,4,2,298.6,4,4,52
34,Osteogeneiosus militaris,SD,"IJMS, 1997,26 Chakraborty et al",ARIIDAE,0571,Maharashtra,NW,1987,1990,Trawlnet,12,4,C,0.65,3,1.1,3.9,5,1,0.78,5,0,0,0,0,0,40,110,110,1,0,0,0,0,0,200,600,4,0,0,0.3333333333,4,0,0,330,0.55,6,MAR-MAY,3,5,83.4,6,3.44,4,4.2,2,298.6,4,2,50
34,Osteogeneiosus militaris,SD,"Bull.40 CMFRI, 1987",ARIIDAE,0571,Veraval,NW,1981,1982,TRAWL,12,4,C,0.78,3,0.77,1.369,2.14,0,0.6397195,4,0,0,0,0,0,40,110,110,1,0,0,0,0,0,200,540,4,0,0,0.3703703704,4,0,0,330,0.6111111111,4,MAR-MAY,3,5,83.4,6,3.44,4,4.2,2,298.6,4,2,47
37,Ablennes hians,LP,"IJF 43 1996, Kasim",BELONIDAE,0636,Tuticorin,SE,1990,1993,Gillnet,11,4,C,0.61,3,0.81,2.61,3.42,0,0.7631578,5,606,891,1046,1131,0,0,0,0,0,0,0,0,0,0,443.5,1233,1,0,0,0.3596918086,4,0,0,0,0,0,,0,0,21.08,2,4.5,2,,0,81.5,1,5,27
